,Program(Group),T / K,ρ / kg m−3,δρ / kg m−3,u / kJ mol−1,δu / kJ mol−1,statepoint,Relative_Error
0,DL_POLY(BS),98.0,774.64,1.21,-23.984,0.087,temp: 98.0,-0.13393285594985677
1,DL_POLY(BS),173.0,710.34,1.6,-19.904,0.122,temp: 173.0,-0.06377850101764823
2,DL_POLY(BS),248.0,650.01,2.04,-16.265,0.153,temp: 248.0,-0.05501160881620485
3,DL_POLY(BS),298.0,611.16,2.4,-13.993,0.174,temp: 298.0,-0.0007272092617488972
4,GROMACS(BS),98.0,784.33,0.06,-24.201,0.002,temp: 98.0,1.1152954186368562
5,GROMACS(BS),173.0,713.67,0.09,-19.962,0.003,temp: 173.0,0.40471210572222843
6,GROMACS(BS),248.0,651.72,0.18,-16.283,0.004,temp: 248.0,0.2079165463643738
7,GROMACS(BS),298.0,612.35,0.2,-14.013,0.005,temp: 298.0,0.19398307056838393
8,GROMACS(KL),98.0,780.97,1.2,-24.148,0.029,temp: 98.0,0.6821264813188636
9,GROMACS(KL),173.0,713.68,0.26,-19.976,0.007,temp: 173.0,0.40611898442114563
10,GROMACS(KL),248.0,652.06,0.56,-16.301,0.006,temp: 248.0,0.26019465909032313
11,GROMACS(KL),298.0,612.39,0.25,-14.022,0.006,temp: 298.0,0.2005279539240124
12,LAMMPS(AA),98.0,772.86,2.23,-23.937,0.065,temp: 98.0,-0.36340925726712225
13,LAMMPS(AA),173.0,710.82,1.41,-19.912,0.05,temp: 173.0,0.003751676530446132
14,LAMMPS(AA),248.0,650.06,2.28,-16.266,0.068,temp: 248.0,-0.04732365106239392
15,LAMMPS(AA),298.0,610.79,2.82,-13.989,0.074,temp: 298.0,-0.061267380301367996
16,LAMMPS(KL),98.0,772.61,2.07,-23.94,0.053,temp: 98.0,-0.3956390889128061
17,LAMMPS(KL),173.0,709.13,1.43,-19.89,0.049,temp: 173.0,-0.2340108235868014
18,LAMMPS(KL),248.0,650.4,1.95,-16.27,0.059,temp: 248.0,0.004954461663572873
19,LAMMPS(KL),298.0,611.32,2.84,-13.995,0.073,temp: 298.0,0.025452324160802165
20,ms2(KL),98.0,773.4,0.09,-23.953,0.004,temp: 98.0,-0.2937928209124498
21,ms2(KL),173.0,710.07,0.23,-19.896,0.005,temp: 173.0,-0.10176422588844729
22,ms2(KL),248.0,649.41,0.34,-16.251,0.004,temp: 248.0,-0.14726710186202346
23,ms2(KL),298.0,609.98,0.39,-13.97,0.005,temp: 298.0,-0.19380126825295602
24,ms2(PB),98.0,773.12,0.11,-23.939,0.003,temp: 98.0,-0.3298902323556122
25,ms2(PB),173.0,710.06,0.11,-19.899,0.003,temp: 173.0,-0.10317110458738059
26,ms2(PB),248.0,649.68,0.13,-16.246,0.004,temp: 248.0,-0.10575212999140945
27,ms2(PB),298.0,610.69,0.19,-13.972,0.004,temp: 298.0,-0.07762958869043916
28,Tinker(AA),98.0,774.6,0.9,,,temp: 98.0,-0.13908962901316146
29,Tinker(AA),173.0,709.5,2.0,,,temp: 173.0,-0.18195631172681334
30,Tinker(AA),248.0,649.9,2.1,,,temp: 248.0,-0.07192511587460637
31,Tinker(AA),298.0,611.0,2.6,,,temp: 298.0,-0.026906742684281355
32,TOWHEE(BS),98.0,774.58,0.77,-23.982,4.946,temp: 98.0,-0.14166801554481384
33,TOWHEE(BS),173.0,709.87,0.76,-19.888,0.025,temp: 173.0,-0.1299017998668253
34,TOWHEE(BS),248.0,650.07,0.66,-16.268,0.025,temp: 248.0,-0.04578605951161425
35,TOWHEE(BS),298.0,610.8,0.51,-13.982,0.021,temp: 298.0,-0.059631159462460885
