,Program(Group),T / K,ρ / kg m−3,δρ / kg m−3,u / kJ mol−1,δu / kJ mol−1,statepoint,Relative_Error
0,DL_POLY(BS),98.0,750.94,1.01,-20.832,0.071,temp: 98.0,0.04396424241615848
1,DL_POLY(BS),173.0,687.02,3.67,-17.869,0.124,temp: 173.0,-0.02296025612004679
2,DL_POLY(BS),248.0,628.96,1.98,-15.348,0.122,temp: 248.0,-0.09283608958859124
3,DL_POLY(BS),298.0,593.07,2.34,-13.815,0.134,temp: 298.0,0.04329637210139121
4,GROMACS(BS),98.0,749.61,0.06,-20.815,0.002,temp: 98.0,-0.1332249770187066
5,GROMACS(BS),173.0,686.55,0.09,-17.869,0.002,temp: 173.0,-0.09135594864664907
6,GROMACS(BS),248.0,629.23,0.12,-15.356,0.003,temp: 248.0,-0.049947934132267675
7,GROMACS(BS),298.0,592.68,0.15,-13.829,0.003,temp: 298.0,-0.022491621870871004
8,GROMACS(KL),98.0,749.33,0.01,-20.814,0.007,temp: 98.0,-0.17052797058393657
9,GROMACS(KL),173.0,686.74,0.09,-17.872,0.003,temp: 173.0,-0.06370662613588862
10,GROMACS(KL),248.0,629.48,0.24,-15.357,0.005,temp: 248.0,-0.010236679080113567
11,GROMACS(KL),298.0,592.78,0.36,-13.828,0.004,temp: 298.0,-0.00562290546772734
12,LAMMPS(AA),98.0,750.93,0.71,-20.843,0.029,temp: 98.0,0.042631992645957635
13,LAMMPS(AA),173.0,687.23,0.92,-17.876,0.038,temp: 173.0,0.007599521391842861
14,LAMMPS(AA),248.0,629.6,1.36,-15.343,0.043,temp: 248.0,0.00882472334492113
15,LAMMPS(AA),298.0,592.8,1.62,-13.821,0.052,temp: 298.0,-0.0022491621871024423
16,LAMMPS(KL),98.0,751.04,0.84,-20.836,0.034,temp: 98.0,0.05728674011801551
17,LAMMPS(KL),173.0,687.36,1.19,-17.873,0.037,temp: 173.0,0.02651747889919918
18,LAMMPS(KL),248.0,629.67,1.86,-15.348,0.047,temp: 248.0,0.019943874759514167
19,LAMMPS(KL),298.0,592.51,1.9,-13.816,0.052,temp: 298.0,-0.05116843975620181
20,ms2(KL),98.0,750.72,0.12,-20.819,0.004,temp: 98.0,0.014654747472042729
21,ms2(KL),173.0,687.61,0.12,-17.861,0.002,temp: 173.0,0.06289816641334722
22,ms2(KL),248.0,629.51,0.16,-15.333,0.003,temp: 248.0,-0.005471328473859408
23,ms2(KL),298.0,592.58,0.25,-13.805,0.003,temp: 298.0,-0.039360338273995495
24,ms2(PB),98.0,750.74,0.06,-20.828,0.002,temp: 98.0,0.017319247012414135
25,ms2(PB),173.0,687.23,0.08,-17.865,0.003,temp: 173.0,0.007599521391842861
26,ms2(PB),248.0,629.75,0.11,-15.338,0.003,temp: 248.0,0.032651476376209985
27,ms2(PB),298.0,592.96,0.16,-13.811,0.004,temp: 298.0,0.024740784057935093
28,Tinker(AA),98.0,751.3,1.2,,,temp: 98.0,0.09192523414287407
29,Tinker(AA),173.0,687.3,1.6,,,temp: 173.0,0.01778611389579505
30,Tinker(AA),248.0,629.9,1.7,,,temp: 248.0,0.056478229407498845
31,Tinker(AA),298.0,592.8,1.9,,,temp: 298.0,-0.0022491621871024423
32,TOWHEE(BS),98.0,750.88,0.62,-20.827,0.003,temp: 98.0,0.03597074379502912
33,TOWHEE(BS),173.0,687.56,0.42,-17.878,0.016,temp: 173.0,0.05562202891050769
34,TOWHEE(BS),248.0,629.8,0.38,-15.352,0.014,temp: 248.0,0.04059372738663358
35,TOWHEE(BS),298.0,593.14,0.2,-13.823,0.008,temp: 298.0,0.055104473583578346
