,Program(Group),T / K,ρ / kg m−3,δρ / kg m−3,u / kJ mol−1,δu / kJ mol−1,statepoint,Relative_Error
0,DL_POLY(BS),98.0,728.3,1.1,-20.392,0.072,temp: 98.0,0.1133295047714482
1,DL_POLY(BS),173.0,648.6,2.0,-16.978,0.102,temp: 173.0,-0.20907305248365196
2,DL_POLY(BS),248.0,568.23,3.07,-13.806,0.124,temp: 248.0,-0.025413606444880818
3,DL_POLY(BS),298.0,502.05,7.94,-11.516,0.204,temp: 298.0,-0.294584933139153
4,GROMACS(BS),98.0,725.55,0.07,-20.353,0.002,temp: 98.0,-0.2646900697694299
5,GROMACS(BS),173.0,649.34,0.12,-16.995,0.003,temp: 173.0,-0.09521969765608027
6,GROMACS(BS),248.0,567.75,0.21,-13.8,0.005,temp: 248.0,-0.10986497555405893
7,GROMACS(BS),298.0,503.05,0.41,-11.544,0.01,temp: 298.0,-0.09598834900040021
8,GROMACS(KL),98.0,724.93,0.21,-20.34,0.003,temp: 98.0,-0.34991630112046485
9,GROMACS(KL),173.0,649.19,0.14,-16.996,0.004,temp: 173.0,-0.11829808039139507
10,GROMACS(KL),248.0,568.26,0.31,-13.808,0.005,temp: 248.0,-0.020135395875562186
11,GROMACS(KL),298.0,503.58,0.32,-11.561,0.009,temp: 298.0,0.009267840593133368
12,LAMMPS(AA),98.0,728.02,0.88,-20.391,0.036,temp: 98.0,0.07484023900001709
13,LAMMPS(AA),173.0,650.09,1.3,-17.002,0.047,temp: 173.0,0.02017221602051125
14,LAMMPS(AA),248.0,568.47,2.33,-13.817,0.073,temp: 248.0,0.016812078109708233
15,LAMMPS(AA),298.0,503.85,4.33,-11.56,0.125,temp: 298.0,0.06288891831060431
16,LAMMPS(KL),98.0,728.83,1.23,-20.412,0.038,temp: 98.0,0.18618418641024748
17,LAMMPS(KL),173.0,650.71,1.86,-17.007,0.053,temp: 173.0,0.11556286465982761
18,LAMMPS(KL),248.0,568.45,2.84,-13.805,0.076,temp: 248.0,0.013293271063495815
19,LAMMPS(KL),298.0,504.14,4.54,-11.55,0.11,temp: 298.0,0.12048192771083538
20,ms2(KL),98.0,727.7,0.12,-20.38,0.004,temp: 98.0,0.03085250668981457
21,ms2(KL),173.0,650.15,0.23,-16.99,0.005,temp: 173.0,0.029403569114630174
22,ms2(KL),248.0,568.13,0.31,-13.788,0.006,temp: 248.0,-0.043007641675962924
23,ms2(KL),298.0,504.5,0.54,-11.54,0.009,temp: 298.0,0.19197669800078912
24,ms2(PB),98.0,727.88,0.07,-20.385,0.002,temp: 98.0,0.05559560611430154
25,ms2(PB),173.0,650.14,0.13,-16.991,0.003,temp: 173.0,0.027865010265610352
26,ms2(PB),248.0,568.8,0.2,-13.795,0.005,temp: 248.0,0.07487239437225318
27,ms2(PB),298.0,503.23,0.32,-11.529,0.008,temp: 298.0,-0.06024096385542334
28,Tinker(AA),98.0,728.2,1.2,,,temp: 98.0,0.09958333842451966
29,Tinker(AA),173.0,651.0,1.6,,,temp: 173.0,0.16018107128143738
30,Tinker(AA),248.0,568.5,2.5,,,temp: 248.0,0.022090288679026866
31,Tinker(AA),298.0,503.9,2.8,,,temp: 298.0,0.07281874751753291
32,TOWHEE(BS),98.0,727.87,0.49,-20.387,0.021,temp: 98.0,0.05422098947960868
33,TOWHEE(BS),173.0,650.41,0.46,-17.005,0.017,temp: 173.0,0.0694060991891805
34,TOWHEE(BS),248.0,568.78,0.31,-13.811,0.009,temp: 248.0,0.07135358732604076
35,TOWHEE(BS),298.0,503.5,0.53,-11.537,0.002,temp: 298.0,-0.0066198861379636945
